accx,accy,accz,gyrox,gyroy,gyroz,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,anglex,angley,anglez,Out
1,0.09,-0.13,-0.22,0,0.12,5.66,-92.7,-47.15,-54.83,362.48,5.11,-93.98,362.48,0
1,0.09,-0.15,-0.12,-0.01,0.01,6.18,-93.25,-47.16,-54.84,362.48,5.12,-93.96,362.48,0
1,0.09,-0.14,-0.12,0.03,-0.1,5.98,-92.93,-47.17,-54.83,362.47,5.12,-93.94,362.47,0
0.99,0.08,-0.15,-0.02,-0.26,0.02,5.47,-93.82,-47.17,-54.86,362.48,5.13,-93.96,362.48,0
1.06,0.09,-0.16,-0.11,0.18,0.02,5.93,-93.47,-47.18,-54.84,362.48,5.13,-93.93,362.48,0
1.01,0.07,-0.14,0,-0.09,0.13,4.64,-93.84,-47.18,-54.85,362.49,5.12,-93.94,362.49,0
1,0.08,-0.15,-0.06,-0.04,-0.08,5.33,-94.14,-47.19,-54.85,362.48,5.12,-93.95,362.48,0
0.98,0.09,-0.13,-0.15,0.05,0.13,6.19,-92.28,-47.21,-54.85,362.5,5.13,-93.91,362.5,0
1,0.09,-0.14,0.09,-0.17,-0.19,5.74,-93.1,-47.2,-54.86,362.48,5.15,-93.91,362.48,0
1,0.09,-0.14,-0.05,-0.04,0.02,6.27,-92.87,-47.2,-54.87,362.48,5.17,-93.89,362.48,0
