accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
-0.07,-1.02,-0.11,1.83,-5.96,2.15,-92.3,4.23,34.04,300.95,2429.78,-74.14,3.59,2429.78
-0.1,-1.02,-0.13,-0.94,-3.17,6.84,-91.92,6.22,33.95,300.64,2430.44,-74.59,3.34,2430.44
-0.08,-0.99,-0.12,5.77,-4.18,-4.68,-92.08,5.45,34.51,300.23,2429.99,-74.38,2.98,2429.99
-0.08,-1.01,-0.1,0.19,-6.54,5.36,-91.52,4.76,34.53,299.59,2430.51,-74.71,2.38,2430.51
-0.09,-1,-0.12,4.29,-3.58,1.86,-91.77,5.59,34.95,299.24,2430.69,-74.64,2.1,2430.69
-0.09,-1,-0.12,3.8,-3.45,1.78,-91.54,5.96,35.32,298.91,2430.87,-74.61,1.85,2430.87
-0.07,-1.01,-0.11,-0.64,-6.38,3.87,-92,4.55,35.26,298.29,2431.24,-75.02,1.3,2431.24
-0.1,-0.99,-0.12,-1.78,-10.44,0.35,-91.24,6.56,35.08,297.24,2431.28,-75.52,0.38,2431.28
-0.1,-1,-0.11,2.69,-3.37,2.04,-90.42,6.59,35.35,296.91,2431.48,-75.56,0.18,2431.48
-0.08,-1,-0.12,2.32,-6.38,-0.11,-92.31,5.05,35.58,296.29,2431.47,-75.67,-0.33,2431.47
-0.09,-1.01,-0.12,2.96,-6.18,-1.1,-91.44,5.78,35.87,295.67,2431.36,-75.69,-0.82,2431.36
-0.09,-0.99,-0.11,2.43,-4.36,5.31,-91.18,5.7,36.11,295.23,2431.89,-75.77,-1.11,2431.89
-0.07,-1,-0.11,1.21,-5.55,2.84,-91.81,4.74,37.9,290.37,2433.38,-76.56,-4.55,2433.38
-0.09,-1,-0.12,1.25,-6.21,5.52,-91.32,5.98,38.02,289.75,2433.93,-76.74,-4.94,2433.93
-0.09,-1,-0.12,2.22,-7.35,1.43,-91.57,5.74,38.24,289.02,2434.07,-76.82,-5.44,2434.07
-0.07,-1,-0.12,3.48,-5.31,-0.81,-92.62,4.79,38.58,288.5,2433.99,-76.8,-5.74,2433.99
-0.08,-1.01,-0.12,3.15,-3.81,0.47,-92.43,4.95,38.9,288.12,2434.04,-76.8,-5.91,2434.04
-0.09,-1,-0.12,7.53,-1.74,6.38,-91.59,5.92,39.64,287.95,2434.66,-76.37,-5.84,2434.66
-0.12,-0.99,-0.14,0.48,-6.53,2.23,-91.04,8.34,39.69,287.3,2434.88,-76.62,-6.19,2434.88
-0.09,-1.01,-0.11,3.9,-3.03,-1.13,-90.69,5.88,40.07,287,2434.77,-76.52,-6.24,2434.77
-0.08,-1,-0.11,1.22,-6.85,1.25,-92.01,5.04,40.19,286.32,2434.9,-76.71,-6.69,2434.9
-0.09,-1,-0.12,2.26,-5.51,0,-91.43,6.08,40.41,285.78,2434.9,-76.79,-6.96,2434.9
-0.08,-1,-0.12,3.74,-0.36,-1.09,-92.13,5.39,40.79,285.74,2434.79,-76.73,-6.75,2434.79
-0.09,-1,-0.12,-0.39,-1.99,2,-92.2,5.58,40.75,285.54,2434.98,-77.07,-6.7,2434.98
-0.09,-1,-0.12,2.35,-4.99,0.71,-91.53,5.78,40.99,285.05,2435.05,-77.13,-6.93,2435.05
-0.1,-1,-0.12,2.37,-8.7,-1.29,-91.29,6.58,41.22,284.18,2434.93,-77.19,-7.51,2434.93
-0.08,-1,-0.11,3.64,-8.12,-0.69,-91.97,4.86,41.59,283.37,2434.86,-77.13,-8.06,2434.86
-0.09,-1,-0.12,4.34,-4.12,0.06,-91.87,5.8,42.02,282.97,2434.86,-77,-8.18,2434.86
-0.09,-1,-0.12,2.75,-4.77,1.81,-91.95,5.62,42.29,282.49,2435.05,-77.03,-8.37,2435.05
-0.09,-0.99,-0.11,1.97,-5.11,2.78,-91.57,5.59,42.49,281.99,2435.32,-77.13,-8.58,2435.32
-0.1,-1,-0.11,1.07,-6.18,2.79,-90.84,6.39,42.59,281.38,2435.59,-77.3,-8.88,2435.59
-0.08,-1,-0.12,5.58,-3.67,-2.51,-92.14,5.31,43.14,281.01,2435.34,-77.06,-8.95,2435.34
-0.08,-1,-0.12,4.87,-5.26,-1.81,-92.16,5.12,43.63,280.49,2435.16,-76.88,-9.19,2435.16
-0.07,-1,-0.1,3.33,-7.17,1.34,-91.88,4.56,43.96,279.78,2435.3,-76.86,-9.61,2435.3
-0.07,-1,-0.12,1.41,-4.96,3.87,-92.63,4.6,44.1,279.29,2435.68,-77.04,-9.81,2435.68
-0.08,-1,-0.12,3.36,-4.15,-1.18,-91.86,5.5,44.92,277.6,2436.65,-77.35,-10.17,2436.65
-0.1,-0.99,-0.11,4.38,-5.92,2.74,-90.66,6.6,45.36,277.01,2436.93,-77.19,-10.42,2436.93
-0.08,-1.01,-0.11,4.09,-3.98,1.61,-91.94,5.03,45.77,276.61,2437.09,-77.08,-10.5,2437.09
-0.09,-0.99,-0.11,2.99,-4.83,6.16,-90.97,5.96,46.07,276.13,2437.7,-77.06,-10.64,2437.7
-0.09,-1,-0.11,-0.07,-2.35,3.54,-90.98,6.09,46.06,275.89,2438.06,-77.35,-10.54,2438.06
-0.1,-0.99,-0.13,0.81,-4.13,1.1,-91.25,6.84,46.14,275.48,2438.17,-77.55,-10.6,2438.17
-0.1,-1,-0.12,-0.36,-6.73,-0.45,-91.41,6.36,46.11,274.8,2438.12,-77.86,-10.92,2438.12
-0.11,-0.99,-0.13,1.62,-5.83,-0.8,-91.65,7.05,46.27,274.21,2438.04,-77.98,-11.14,2438.04
-0.08,-1,-0.13,3.94,-3.81,-4.51,-92.96,5.12,46.67,273.83,2437.58,-77.88,-11.19,2437.58
-0.07,-1.01,-0.12,2.7,-4.47,-0.87,-93.14,4.24,46.94,273.38,2437.49,-77.92,-11.32,2437.49
-0.06,-1.01,-0.11,4.64,-4.54,-0.17,-93.15,3.77,47.42,272.91,2437.48,-77.76,-11.47,2437.48
-0.08,-1,-0.12,2.7,-7.51,0.81,-92.52,4.98,47.69,272.16,2437.56,-77.79,-11.88,2437.56
-0.09,-0.99,-0.12,-1.04,-8.15,6.76,-91.38,6,47.58,271.35,2438.23,-78.17,-12.32,2438.23
-0.09,-1,-0.14,1.06,-8.22,3.05,-92.74,5.9,47.69,270.52,2438.54,-78.35,-12.77,2438.54
-0.09,-0.99,-0.14,5.41,-2.15,-2.46,-92.82,5.78,48.23,270.3,2438.3,-78.11,-12.61,2438.3
-0.04,-1,-0.1,5.28,-3.86,-0.81,-93.31,2.72,48.76,269.92,2438.21,-77.9,-12.68,2438.21
-0.07,-1.01,-0.13,3.64,-6.18,1.98,-93.23,4.69,49.13,269.29,2438.42,-77.84,-12.95,2438.42
-0.07,-1,-0.12,3.35,-4.93,0.18,-92.68,4.84,49.46,268.8,2438.43,-77.81,-13.07,2438.43
-0.09,-1,-0.13,0.92,-10.87,6.71,-92.1,5.81,49.55,267.71,2439.11,-78.01,-13.76,2439.11
-0.05,-1,-0.12,4.69,-0.82,1.87,-93.89,3.37,50.03,267.63,2439.3,-77.86,-13.5,2439.3
-0.09,-1,-0.12,1.27,-9.49,3.89,-92.05,5.72,50.15,266.68,2439.68,-78.02,-14.05,2439.68
-0.1,-1,-0.13,4.95,-1.81,1.95,-91.85,6.69,50.64,266.5,2439.88,-77.82,-13.81,2439.88
-0.1,-0.99,-0.13,1.3,-8.77,6.56,-91.96,6.56,50.78,265.62,2440.54,-77.97,-14.27,2440.54
-0.09,-1,-0.13,1.79,-11.16,4.06,-92.39,6.02,50.95,264.51,2440.94,-78.09,-14.94,2440.94
-0.1,-1.01,-0.12,1.7,-7.16,1.4,-91.05,6.17,51.12,263.79,2441.08,-78.18,-15.23,2441.08
-0.09,-1,-0.11,1.5,-8.62,2.5,-91.33,5.92,51.45,262.23,2441.67,-78.38,-15.87,2441.67
-0.1,-1.01,-0.12,1.48,-6.09,4.79,-91.64,6.2,51.59,261.63,2442.14,-78.5,-16.02,2442.14
-0.1,-1,-0.14,3.96,-2.5,-2.78,-92.36,6.52,51.99,261.38,2441.86,-78.38,-15.81,2441.86
-0.1,-0.99,-0.13,5.76,-2.5,-1.85,-91.66,6.64,52.57,261.13,2441.67,-78.08,-15.61,2441.67
-0.1,-0.99,-0.12,2.58,-5.75,2.94,-90.82,6.84,52.83,260.54,2441.98,-78.08,-15.74,2441.98
-0.08,-0.99,-0.13,4.64,-3.25,3.28,-92.94,5.57,53.29,260.22,2442.3,-77.93,-15.62,2442.3
-0.11,-0.99,-0.14,0.46,-6.35,4.3,-91.86,7.25,53.34,259.58,2442.73,-78.16,-15.79,2442.73
-0.09,-1.02,-0.13,5.1,-3.77,-4.87,-92.28,5.86,53.85,259.21,2442.24,-77.94,-15.73,2442.24
