accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.45,0.14,-0.9,-2.5,-3.79,2.05,163.29,149.65,484.86,-84.88,113.07,170.39,125.38,113.07
-0.45,0.12,-0.9,0.37,2.11,0.98,164.42,149.68,484.9,-84.66,113.16,170.31,126.08,113.16
-0.45,0.12,-0.9,0.36,-6.94,-4.07,165.03,149.98,485.04,-90.28,111.63,169.36,125.89,111.63
-0.43,0.11,-0.89,1.21,-0.91,-0.92,166.17,150.93,485.16,-90.37,111.54,169.42,126.3,111.54
-0.47,0.13,-0.9,0.57,-1.21,1.4,163.48,148.87,485.22,-90.49,111.68,169.36,126.63,111.68
-0.46,0.12,-0.91,0.94,-1.53,2.34,165.35,149.75,485.31,-90.64,111.91,169.37,126.95,111.91
-0.43,0.12,-0.89,-0.62,-2.08,-0.34,165.69,150.73,485.25,-90.85,111.87,169.23,127.22,111.87
-0.45,0.13,-0.88,-0.02,-0.97,-1,163.38,149.28,485.25,-90.95,111.77,169.11,127.56,111.77
-0.45,0.12,-0.91,-0.48,-5.93,-1,164.94,150.12,485.2,-91.56,111.67,168.98,127.42,111.67
-0.45,0.12,-0.89,-0.25,-0.54,2.43,164.75,150.01,485.18,-91.61,111.92,168.87,127.82,111.92
-0.46,0.13,-0.89,0.65,-5.2,-2.88,163.34,149,485.24,-92.13,111.63,168.83,127.73,111.63
-0.45,0.13,-0.89,-0.08,-4.65,0.16,163.75,149.69,485.23,-92.6,111.65,168.72,127.71,111.65
-0.46,0.12,-0.89,0.92,-4.62,-0.99,164.48,149.39,485.32,-93.07,111.55,168.72,127.69,111.55
-0.46,0.12,-0.89,0.28,-5.84,-2.74,164.08,148.97,485.35,-93.66,111.27,168.66,127.54,111.27
-0.46,0.13,-0.89,0.3,-0.65,-0.33,163.4,149.14,485.38,-93.72,111.24,168.58,127.9,111.24
-0.44,0.13,-0.88,-1,-4.07,1.53,163.52,149.33,485.28,-94.13,111.39,168.38,127.93,111.39
-0.45,0.12,-0.89,0.45,-2.92,-0.71,164.56,149.58,485.33,-94.43,111.32,168.35,128.08,111.32
-0.45,0.13,-0.89,0.83,-1.08,1.64,163.62,149.17,485.41,-94.53,111.49,168.34,128.39,111.49
-0.45,0.13,-0.9,-0.82,-4.77,1.73,163.93,149.56,485.33,-95.01,111.66,168.17,128.35,111.66
-0.46,0.12,-0.89,0.66,-1.81,0.97,164.19,149.3,485.4,-95.19,111.76,168.16,128.59,111.76
-0.47,0.12,-0.9,-0.05,-4.97,-0.33,163.78,148.82,485.39,-95.68,111.73,168.07,128.51,111.73
-0.45,0.13,-0.9,0.95,-0.48,0.95,164.36,150.03,485.49,-95.73,111.82,168.09,128.89,111.82
-0.45,0.13,-0.9,0.86,-0.31,-0.82,163.52,149.52,485.58,-95.76,111.74,168.08,129.28,111.74
-0.45,0.14,-0.89,-0.85,-10.07,-3.2,162.16,148.83,485.49,-96.78,111.42,167.88,128.67,111.42
-0.45,0.13,-0.9,1.11,-2.02,-1.99,163.34,149.33,485.61,-96.99,111.21,167.9,128.88,111.21
-0.43,0.13,-0.89,1.2,-3.32,-1.46,164.56,150.38,485.73,-97.33,111.07,167.95,128.98,111.07
-0.47,0.13,-0.91,0.34,-6.21,-1.2,163.88,149.09,485.76,-97.95,110.95,167.9,128.77,110.95
-0.46,0.13,-0.9,-0.19,-5.08,-2.33,163.06,149.08,485.74,-98.46,110.71,167.79,128.68,110.71
-0.46,0.13,-0.89,0.21,-2.82,2.05,162.87,148.72,485.76,-98.75,110.92,167.71,128.8,110.92
-0.46,0.13,-0.89,0.95,-2.08,-1.86,163.05,148.66,485.86,-98.95,110.74,167.71,128.99,110.74
-0.45,0.1,-0.9,0.18,-9.53,-2.57,166.98,150.41,485.85,-101.08,110.2,167.47,128.13,110.2
-0.44,0.13,-0.88,-3.37,-6.62,-1.15,162.97,149.25,485.51,-101.76,110.08,167.05,127.89,110.08
-0.45,0.14,-0.9,-0.97,-0.01,5.56,162.84,149.44,485.41,-101.76,110.65,166.87,128.32,110.65
-0.49,0.11,-0.85,4.5,25.93,6.97,162.82,146.53,485.87,-99.11,111.36,167.23,131.28,111.36
-0.43,0.14,-0.89,-3.17,-17.75,-7.21,162.97,150.03,485.55,-100.89,110.64,166.84,129.91,110.64
-0.48,0.12,-0.89,-1,-8.22,6.45,163.41,148.1,485.45,-101.73,111.31,166.67,129.45,111.31
-0.46,0.14,-0.88,-2.28,-9.35,-1.29,161.73,148.13,485.21,-102.7,111.17,166.34,128.88,111.17
-0.45,0.12,-0.89,-0.39,-4.79,0.72,164.38,149.82,485.17,-103.18,111.25,166.26,128.82,111.25
-0.48,0.15,-0.9,0.15,-2.59,-2.24,160.97,147.61,485.19,-103.45,111.02,166.17,128.93,111.02
-0.45,0.12,-0.86,1.89,-0.48,-0.71,163.56,148.68,485.38,-103.5,110.95,166.31,129.28,110.95
-0.46,0.12,-0.89,-0.43,-3.37,-2.36,164.71,149.02,485.33,-103.84,110.71,166.23,129.34,110.71
-0.46,0.13,-0.89,0.42,-5.11,-3.31,162.98,148.58,485.38,-104.37,110.37,166.21,129.21,110.37
-0.46,0.14,-0.89,0.33,-4.98,1.88,162.12,148.32,485.41,-104.88,110.56,166.16,129.09,110.56
-0.46,0.13,-0.89,1.53,-1.29,-2.18,163.48,148.97,485.56,-105,110.34,166.26,129.36,110.34
-0.46,0.13,-0.88,1.14,2.77,-0.67,161.88,147.93,485.68,-104.72,110.27,166.28,130.01,110.27
-0.47,0.1,-0.83,-4.88,-3.55,-1.83,163.67,146.9,485.19,-105.08,110.09,165.75,130,110.09
-0.44,0.14,-0.9,-1.69,10.44,4.97,163.25,149.92,485.02,-104,110.6,165.53,131.45,110.6
-0.45,0.14,-0.89,-5.03,-5.56,-6.22,162.32,148.9,484.51,-104.57,109.97,164.97,131.25,109.97
-0.44,0.12,-0.89,-2.85,-9.92,5.38,164.92,150.34,484.22,-105.58,110.52,164.68,130.64,110.52
-0.44,0.16,-0.9,-3.09,-3.14,0.75,160.54,149.14,483.9,-105.9,110.59,164.29,130.69,110.59
-0.42,0.12,-0.88,-0.57,2.79,-0.01,164.67,150.67,483.84,-105.62,110.59,164.24,131.37,110.59
-0.46,0.13,-0.89,-3,-11.21,-4.86,163.21,149.05,483.53,-106.78,110.09,163.91,130.59,110.09
