accx,accy,accz,gyro x,gyro y,gyro z,acc angle x,acc angle y,gyro angle x,gyro angle y,gyro angle z,angle x,angle y,angle z,out
0.72,0.66,-0.29,1.77,-0.81,1.28,57.32,-62.7,-4.97,61.28,33.39,59.66,-63.53,33.39,1
0.7,0.65,-0.27,1.69,7.02,2.34,56.8,-61.86,-4.81,61.93,33.61,59.76,-62.87,33.61,1
0.66,0.67,-0.27,1.1,5.66,1.94,59.24,-58.82,-4.71,62.45,33.79,59.85,-62.28,33.79,1
0.65,0.66,-0.28,-0.05,1.23,-0.17,60.19,-59.53,-4.71,62.56,33.77,59.85,-62.11,33.77,1
0.68,0.68,-0.26,-0.57,-4.05,-1.85,58.19,-58.58,-4.77,62.19,33.6,59.76,-62.41,33.6,1
0.69,0.68,-0.31,-1.83,-5.91,-2.36,60.48,-61.97,-4.94,61.62,33.38,59.61,-62.95,33.38,1
0.69,0.68,-0.27,-0.84,-5.27,-1.92,58.42,-59.58,-5.02,61.12,33.19,59.51,-63.38,33.19,1
0.68,0.67,-0.29,-1.7,-7.38,-3.2,59.86,-60.48,-5.18,60.42,32.89,59.35,-64.01,32.89,1
0.71,0.68,-0.29,-2.89,-8.54,-4.75,57.86,-61.64,-5.45,59.62,32.44,59.06,-64.74,32.44,1
0.71,0.7,-0.28,-2.29,-7.46,-3.57,58.63,-59.54,-5.67,58.92,32.11,58.84,-65.33,32.11,1
0.69,0.65,-0.29,0.26,6.28,3.9,58.58,-62.49,-5.65,59.51,32.47,58.86,-64.69,32.47,1
0.68,0.67,-0.26,1.01,3.44,1.19,57.65,-59.37,-5.55,59.83,32.58,58.92,-64.27,32.58,1
0.69,0.66,-0.31,-0.81,2.45,0.55,60.68,-63.23,-5.63,60.05,32.63,58.89,-64.03,32.63,1
0.71,0.67,-0.29,0.72,2.06,-0.35,57.55,-62.1,-5.56,60.24,32.6,58.92,-63.81,32.6,1
0.69,0.66,-0.32,0.18,-0.02,3.15,60.49,-63.37,-5.54,60.24,32.89,58.97,-63.8,32.89,1
0.65,0.7,-0.26,0.47,1.43,1.88,60.51,-55.7,-5.5,60.37,33.06,59.05,-63.51,33.06,1
0.64,0.69,-0.28,-0.6,-1.87,0.69,62.38,-57.35,-5.56,60.2,33.13,59.06,-63.55,33.13,1
0.67,0.68,-0.28,-2.75,-2.65,-3.28,60.83,-59.09,-5.82,59.95,32.81,58.84,-63.71,32.81,1
0.7,0.7,-0.28,-3.22,-4.95,-2.46,58.81,-58.62,-6.12,59.48,32.58,58.54,-64.07,32.58,1
0.69,0.69,-0.29,0.04,-7.38,-4.03,59.91,-59.67,-6.12,58.79,32.21,58.57,-64.66,32.21,1
0.72,0.69,-0.29,2.26,2.25,1.82,58.08,-61.15,-5.91,59,32.37,58.77,-64.38,32.37,1
0.7,0.71,-0.31,-0.96,-0.94,1.04,61.2,-60.39,-5.99,58.91,32.47,58.73,-64.39,32.47,1
0.66,0.71,-0.27,0.18,4.01,1.62,61.04,-56.16,-5.98,59.29,32.62,58.79,-63.85,32.62,1
0.63,0.68,-0.29,-0.4,0.94,0.58,63.35,-58.03,-6.01,59.38,32.68,58.85,-63.65,32.68,1
0.65,0.68,-0.26,0.88,0.86,-0.55,60.57,-57.44,-5.93,59.46,32.63,58.96,-63.45,32.63,1
0.65,0.69,-0.29,-1.64,-4.54,-3.6,62.22,-58.31,-6.08,59.04,32.29,58.88,-63.75,32.29,1
0.67,0.7,-0.28,-2.55,-10.97,-1.65,61.24,-57.94,-6.32,58.01,32.14,58.69,-64.65,32.14,1
0.68,0.71,-0.29,-0.84,-3.75,-2.06,61.15,-58.68,-6.4,57.65,31.94,58.66,-64.88,31.94,1
0.7,0.68,-0.3,-3.07,-5.26,-2,59.36,-61.73,-6.69,57.15,31.75,58.39,-65.3,31.75,1
0.71,0.69,-0.28,-1.56,-5.84,-0.64,57.74,-59.99,-6.84,56.6,31.69,58.24,-65.74,31.69,1
0.7,0.67,-0.31,-1.62,-2.52,-0.87,59.65,-62.59,-6.99,56.37,31.61,58.12,-65.91,31.61,1
0.69,0.67,-0.3,-0.92,-1.72,-0.15,59.64,-61.65,-7.08,56.21,31.6,58.06,-65.98,31.6,1
0.65,0.68,-0.29,-2.22,-1.69,-0.21,61.93,-59.46,-7.29,56.04,31.58,57.93,-66.01,31.58,1
0.69,0.67,-0.29,0.07,-3.7,-2.75,59.43,-61.04,-7.28,55.7,31.32,57.97,-66.25,31.32,1
0.66,0.7,-0.29,-0.22,-0.4,0.58,61.85,-58.12,-7.3,55.66,31.37,58.03,-66.12,31.37,1
0.65,0.66,-0.31,-1.79,-4.11,-1.62,62.71,-61.97,-7.47,55.28,31.22,57.96,-66.41,31.22,1
0.66,0.68,-0.32,-3.7,-5.49,-2.7,63.86,-61.52,-7.82,54.76,30.97,57.73,-66.82,30.97,1
0.69,0.68,-0.3,0.18,-3.44,-1.45,60.53,-60.94,-7.8,54.43,30.83,57.81,-67.03,30.83,1
0.72,0.67,-0.3,-1.96,2.21,-0.99,57.91,-62.66,-7.98,54.64,30.74,57.63,-66.74,30.74,1
